502,375.16,374.83
607,205.41,209.37
635,205.41,209.37
663,205.41,43.91
692,205.41,43.91
719,35.67,43.91
748,35.67,43.91
777,35.67,43.91
804,35.67,43.91
833,35.67,43.94
861,35.67,43.94
888,35.66,43.94
917,35.66,43.94
945,35.66,44.01
973,35.66,44.01
1001,35.66,44.01
1030,35.66,44.07
1058,35.66,44.07
1086,35.66,44.07
1115,35.66,44.07
1142,35.66,44.12
1171,35.66,44.12
1199,35.66,44.12
1227,35.66,44.19
1256,35.66,44.19
1284,35.68,44.19
1312,35.68,44.19
1340,35.68,44.27
1369,35.69,44.27
1402,35.69,44.27
1430,35.69,44.30
1459,35.69,44.30
1486,35.69,44.30
1515,35.69,44.30
1543,35.69,44.30
1571,35.67,44.30
1599,35.67,44.30
1628,35.67,44.27
1655,35.63,44.27
1684,35.63,44.27
1713,35.63,44.23
1740,35.63,44.23
1769,35.58,44.23
1797,35.58,44.23
1825,35.58,44.21
1853,35.55,44.21
1888,35.55,44.21
1939,35.55,44.18
1981,35.54,44.18
2010,35.54,44.15
2038,35.53,44.15
2066,35.53,44.15
2095,35.53,44.15
2122,35.53,44.13
2151,35.51,44.13
2180,35.51,44.13
2207,35.51,44.12
2236,35.48,44.12
2270,35.48,44.12
2297,35.48,44.09
2326,35.47,44.09
2354,35.47,44.09
2382,35.47,44.09
2410,35.47,44.09
2439,35.47,44.09
2466,35.47,44.09
2495,35.47,44.09
2523,35.47,44.09
2551,35.47,44.09
2579,35.47,44.09
2608,35.47,44.09
2635,35.48,44.09
2664,35.48,44.09
2692,35.48,44.09
2720,35.49,44.09
2749,35.49,44.09
2777,35.49,44.09
2805,35.49,44.07
2834,35.49,44.07
2862,35.49,44.07
2889,35.49,44.05
2918,35.50,44.05
2947,35.50,44.05
2974,35.50,44.05
3002,35.50,44.02
3031,35.50,44.02
3064,35.50,44.02
3092,35.49,44.02
3121,35.49,44.02
3149,35.49,44.02
3177,35.49,44.01
3206,35.48,44.01
3233,35.48,44.01
3262,35.48,44.01
3290,35.48,44.01
3318,35.48,44.01
3346,35.48,44.01
3375,35.48,43.99
3403,35.50,43.99
3431,35.50,43.99
3460,35.50,43.99
3487,35.58,43.94
3516,35.58,43.94
3544,35.58,43.94
3572,35.65,43.88
3601,35.65,43.88
3629,35.65,43.88
3656,35.65,43.88
3685,35.65,43.86
3714,35.65,43.86
3741,35.65,43.86
3770,35.66,43.86
3799,35.66,43.86
3826,35.66,43.86
3854,35.66,43.86
3888,35.66,43.88
3916,35.66,43.88
3944,35.66,43.88
3973,35.66,43.89
4001,35.66,43.89
4029,35.66,43.89
4057,35.66,43.89
4086,35.66,43.89
4114,35.66,43.89
4142,35.66,43.89
4170,35.66,43.89
4199,35.66,43.89
4227,35.66,43.89
4254,35.66,43.86
4283,35.66,43.86
4312,35.66,43.86
4339,35.66,43.86
4368,35.66,43.81
4397,35.66,43.81
4424,35.66,43.81
4452,35.66,43.78
4481,35.66,43.78
4509,35.66,43.78
4537,35.66,43.78
4566,35.66,43.78
4593,35.66,43.78
4622,35.66,43.78
4649,35.66,43.79
4683,35.66,43.79
4712,35.66,43.79
4740,35.66,43.84
4768,35.66,43.84
4796,35.66,43.84
4825,35.66,43.84
4853,35.66,43.90
4881,35.66,43.90
4910,35.66,43.90
4937,35.65,43.95
4966,35.65,43.95
4994,35.65,43.95
5022,35.64,43.95
5050,35.64,43.98
5079,35.64,43.98
5106,35.63,43.98
5135,35.63,44.00
5164,35.63,44.00
5191,35.63,44.00
5219,35.63,44.00
5248,35.63,44.01
5276,35.63,44.01
5304,35.63,44.01
5332,35.63,44.01
5361,35.63,44.01
5389,35.63,44.01
5416,35.63,44.01
5445,35.63,44.01
5474,35.63,44.01
5507,35.64,44.01
5535,35.64,44.00
5564,35.64,44.00
5592,35.64,44.00
5620,35.64,44.00
5648,35.64,44.00
5677,35.64,44.00
5704,35.64,44.00
5733,35.64,43.99
5761,35.64,43.99
